player,team,league,position,salary
"Barlow, Scott",Kansas City Royals,AL-Central,RP,650000
"Benintendi, Andrew",Kansas City Royals,AL-Central,OF,6600000
"Brentz, Jake",Kansas City Royals,AL-Central,RP,570500
"Davis, Wade",Kansas City Royals,AL-Central,RP,1250000
"Dozier, Hunter",Kansas City Royals,AL-Central,3B,2720000
"Duffy, Danny",Kansas City Royals,AL-Central,SP,15500000
"Dyson, Jarrod",Kansas City Royals,AL-Central,OF,1500000
"Gallagher, Cam",Kansas City Royals,AL-Central,C,604000
"Hahn, Jesse",Kansas City Royals,AL-Central,RP,1750000
"Hernandez, Carlos",Kansas City Royals,AL-Central,RP,574200
"Holland, Greg",Kansas City Royals,AL-Central,RP,2750000
"Isbel, Kyle",Kansas City Royals,AL-Central,OF,570500
"Junis, Jakob",Kansas City Royals,AL-Central,RP,1700000
"Keller, Brad",Kansas City Royals,AL-Central,SP,3350000
"Lopez, Nicky",Kansas City Royals,AL-Central,SS,597500
"McBroom, Ryan",Kansas City Royals,AL-Central,OF,583900
"Merrifield, Whit",Kansas City Royals,AL-Central,OF,7250000
"Minor, Mike",Kansas City Royals,AL-Central,SP,7000000
"Mondesi, Adalberto",Kansas City Royals,AL-Central,SS,2525000
"Perez, Salvador",Kansas City Royals,AL-Central,C,14200000
"Santana, Carlos",Kansas City Royals,AL-Central,1B,7000000
"Singer, Brady",Kansas City Royals,AL-Central,SP,593700
"Soler, Jorge",Kansas City Royals,AL-Central,DH,8050000
"Staumont, Josh",Kansas City Royals,AL-Central,RP,588700
"Taylor, Michael A.",Kansas City Royals,AL-Central,OF,1750000
"Zimmer, Kyle",Kansas City Royals,AL-Central,RP,588700
"Barreto, Franklin",Los Angeles Angels,AL-West,INF,600500
"Bundy, Dylan",Los Angeles Angels,AL-West,SP,8325000
"Canning, Griffin",Los Angeles Angels,AL-West,SP,590500
"Cishek, Steve",Los Angeles Angels,AL-West,RP,1000000
"Claudio, Alex",Los Angeles Angels,AL-West,RP,1125000
"Cobb, Alex",Los Angeles Angels,AL-West,SP,11783080
"Fletcher, David",Los Angeles Angels,AL-West,2B,2000000
"Fowler, Dexter",Los Angeles Angels,AL-West,OF,14500000
"Guerra, Junior",Los Angeles Angels,AL-West,RP,750000
"Heaney, Andrew",Los Angeles Angels,AL-West,SP,6750000
"Iglesias, Jose",Los Angeles Angels,AL-West,SS,3500000
"Iglesias, Raisel",Los Angeles Angels,AL-West,RP,9125000
"Lagares, Juan",Los Angeles Angels,AL-West,OF,1250000
"Mayers, Mike",Los Angeles Angels,AL-West,RP,1200000
"Ohtani, Shohei",Los Angeles Angels,AL-West,DH/SP,3000000
"Pena, Felix",Los Angeles Angels,AL-West,RP,1100000
"Pujols, Albert",Los Angeles Angels,AL-West,1B,30000000
"Quintana, Jose",Los Angeles Angels,AL-West,SP,8000000
"Rendon, Anthony",Los Angeles Angels,AL-West,3B,28071429
"Rodriguez, Chris",Los Angeles Angels,AL-West,RP,570500
"Rojas, Jose",Los Angeles Angels,AL-West,3B,570500
"Slegers, Aaron",Los Angeles Angels,AL-West,RP,590500
"Stassi, Max",Los Angeles Angels,AL-West,C,1600000
"Suzuki, Kurt",Los Angeles Angels,AL-West,C,1500000
"Trout, Mike",Los Angeles Angels,AL-West,OF,37116667
"Upton, Justin",Los Angeles Angels,AL-West,OF,24700000
"Walsh, Jared",Los Angeles Angels,AL-West,1B,590500
"Watson, Tony",Los Angeles Angels,AL-West,RP,1000000
"Alexander, Scott",Los Angeles Dodgers,NL-West,RP,1000000
"Barnes, Austin",Los Angeles Dodgers,NL-West,C,1650000
"Bauer, Trevor",Los Angeles Dodgers,NL-West,SP,31333333
"Beaty, Matt",Los Angeles Dodgers,NL-West,1B,590500
"Bellinger, Cody",Los Angeles Dodgers,NL-West,OF,16100000
"Betts, Mookie",Los Angeles Dodgers,NL-West,OF,18658692
"Buehler, Walker",Los Angeles Dodgers,NL-West,SP,3750000
"Ferguson, Caleb",Los Angeles Dodgers,NL-West,RP,600500
"Gonsolin, Tony",Los Angeles Dodgers,NL-West,SP,580500
"Gonzalez, Victor",Los Angeles Dodgers,NL-West,RP,580500
"Graterol, Brusdar",Los Angeles Dodgers,NL-West,RP,590500
"Jansen, Kenley",Los Angeles Dodgers,NL-West,RP,20000000
"Kahnle, Tommy",Los Angeles Dodgers,NL-West,RP,1025000
"Kelly, Joe",Los Angeles Dodgers,NL-West,RP,8833333
"Kershaw, Clayton",Los Angeles Dodgers,NL-West,SP,31000001
"Knebel, Corey",Los Angeles Dodgers,NL-West,RP,5250000
"Lux, Gavin",Los Angeles Dodgers,NL-West,2B,580500
"May, Dustin",Los Angeles Dodgers,NL-West,SP,590500
"McKinstry, Zach",Los Angeles Dodgers,NL-West,2B,573000
"Muncy, Max",Los Angeles Dodgers,NL-West,1B,9000000
"Nelson, Jimmy",Los Angeles Dodgers,NL-West,RP,1250000
"Pollock, A.J.",Los Angeles Dodgers,NL-West,OF,18000000
"Price, David",Los Angeles Dodgers,NL-West,RP,32000000
"Rios, Edwin",Los Angeles Dodgers,NL-West,3B,590500
"Seager, Corey",Los Angeles Dodgers,NL-West,SS,13750000
"Smith, Will",Los Angeles Dodgers,NL-West,C,590500
"Taylor, Chris",Los Angeles Dodgers,NL-West,2B,7800000
"Toles, Andrew",Los Angeles Dodgers,NL-West,OF,583500
"Treinen, Blake",Los Angeles Dodgers,NL-West,RP,8000000
"Turner, Justin",Los Angeles Dodgers,NL-West,3B,11574377
"Urias, Julio",Los Angeles Dodgers,NL-West,SP,3600000
"Aguilar, Jesus",Miami Marlins,NL-East,1B,4350000
"Alcantara, Sandy",Miami Marlins,NL-East,SP,630000
"Alfaro, Jorge",Miami Marlins,NL-East,C,2050000
"Anderson, Brian",Miami Marlins,NL-East,3B,3800000
"Bass, Anthony",Miami Marlins,NL-East,RP,1000000
"Berti, Jon",Miami Marlins,NL-East,2B,607500
"Bleier, Richard",Miami Marlins,NL-East,RP,1425000
"Brigham, Jeff",Miami Marlins,NL-East,RP,570750
"Brinson, Lewis",Miami Marlins,NL-East,OF,587500
"Campbell, Paul",Miami Marlins,NL-East,RP,570500
"Chisholm, Jazz",Miami Marlins,NL-East,2B,571750
"Cimber, Adam",Miami Marlins,NL-East,RP,925000
"Cooper, Garrett",Miami Marlins,NL-East,1B,1800000
"Curtiss, John",Miami Marlins,NL-East,RP,615000
"Detwiler, Ross",Miami Marlins,NL-East,RP,850000
"Dickerson, Corey",Miami Marlins,NL-East,OF,9500000
"Duvall, Adam",Miami Marlins,NL-East,OF,2000000
"Floro, Dylan",Miami Marlins,NL-East,RP,975000
"Garcia, Yimi",Miami Marlins,NL-East,RP,1900000
"Guzman, Jorge",Miami Marlins,NL-East,RP,570750
"Hernandez, Elieser",Miami Marlins,NL-East,SP,579000
"Lopez, Pablo",Miami Marlins,NL-East,SP,595000
"Marte, Starling",Miami Marlins,NL-East,OF,12500000
"Pop, Zach",Miami Marlins,NL-East,RP,570500
"Rogers, Trevor",Miami Marlins,NL-East,SP,574750
"Rojas, Miguel",Miami Marlins,NL-East,SS,5000000
"Sanchez, Jesus",Miami Marlins,NL-East,OF,571000
"Sierra, Magneuris",Miami Marlins,NL-East,OF,571375
